StoreId,StoreName,ShortStoreName,ADPBatchID,ADPBatchDescription,InCompany_9_79,InCorpToast_9_244,InAllStores_2_0,IsDeletedStore,BatchIDStatus,BatchDescriptionStatus
0,Company,,,,0,0,0,0,MISSING - no ADPBatchID set,blank
1,Dev Center (Do Not Report),,1,,0,0,0,0,OK - matches store number,blank
2,Newks Learning Center,,0,,0,0,0,0,PLACEHOLDER - ADPBatchID is 0,blank
1001,Oxford MS (University),,1001,Oxford University,1,1,1,0,OK - matches store number,set
1002,Southaven MS (Goodman Ave),,1002,,0,0,1,0,OK - matches store number,blank
1003,Flowood MS,,1003,Flowood,1,1,1,0,OK - matches store number,set
1004,Tuscaloosa AL,,1004,TUSC,0,0,1,0,OK - matches store number,set
1005,Hattiesburg MS (Hardy St),,1005,Hattiesburg,0,0,1,0,OK - matches store number,set
1006,Collierville TN,,1006,,0,0,1,0,OK - matches store number,blank
1007,Cypress TX,,1007,CYPRESS,0,0,1,0,OK - matches store number,set
1008,Birmingham AL (Downtown),,1008,,0,0,1,0,OK - matches store number,blank
1009,Clinton MS,,1009,,1,1,1,0,OK - matches store number,blank
1010,zClosed - Cordova TN,,1010,,0,0,0,0,OK - matches store number,blank
1011,Jackson MS,,1011,Jackson,1,1,1,0,OK - matches store number,set
1012,zClosed - Mobile AL (Azalea Road),,1012,,0,0,0,0,OK - matches store number,blank
1013,zClosed - Mountain Brook AL,,1013,,0,0,0,0,OK - matches store number,blank
1014,Ridgeland MS (Lake Harbour),,1014,Lake Harbour,1,1,1,0,OK - matches store number,set
1015,Tyler TX,,1015,Tyler,1,1,1,0,OK - matches store number,set
1016,Oxford MS (Galleria),,1016,Galleria,1,1,1,0,OK - matches store number,set
1017,Huntsville AL,,1017,HUNTS,0,0,1,0,OK - matches store number,set
1018,Brandon MS,,1018,Brandon,0,0,1,0,OK - matches store number,set
1019,Murfreesboro TN (Avenues),,1019,MURF,1,1,1,0,OK - matches store number,set
1020,Tupelo MS,,1020,,0,0,1,0,OK - matches store number,blank
1021,Shreveport LA,,1021,,0,0,1,0,OK - matches store number,blank
1022,zClosed - Dallas,,1022,,0,0,0,0,OK - matches store number,blank
1023,Panama City FL,,1023,,1,1,1,0,OK - matches store number,blank
1024,Longview TX,,1024,Longview,1,1,1,0,OK - matches store number,set
1025,zClosed - Charlotte NC (Blakeney),,1025,,0,0,0,0,OK - matches store number,blank
1026,D`Iberville MS,,1026,DIberville,0,0,1,0,OK - matches store number,set
